Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_agent_login_and_view_dashboard,50,275,272,321,327,330,219,331,0.0,False
jmeter_agent_add_comment:open_request_comment,864,15,14,18,21,41,10,58,0.0,False
jmeter_agent_add_comment:save_request_comment,864,227,218,288,317,390,133,825,0.0,False
jmeter_agent_view_request,796,163,158,204,220,250,105,293,0.0,False
jmeter_agent_browse_projects,334,55,53,69,78,95,39,108,0.0,False
jmeter_agent_view_customers,198,606,596,715,749,853,453,887,0.0,False
jmeter_agent_view_queues_small:all_open_queue,167,979,384,2654,6215,6760,224,7136,0.0,False
jmeter_agent_view_queues_small:random_queue,167,231,222,293,313,336,157,375,0.0,False
jmeter_agent_view_report_workload_small,134,937,804,1102,2051,3141,515,3721,0.0,False
jmeter_agent_view_queues_medium:all_open_queue,133,404,390,506,540,667,260,796,100.0,False
jmeter_agent_view_queues_medium:random_queue,133,233,229,287,301,352,164,379,0.0,False
jmeter_agent_view_report_workload_medium,100,770,746,910,941,1088,564,1100,0.0,False
jmeter_agent_view_report_created_vs_resolved_medium,67,113,114,139,145,164,87,166,0.0,False
jmeter_agent_view_report_created_vs_resolved_small,165,117,113,145,156,184,85,194,0.0,False
jmeter_customer_login_and_view_portals,30,421,410,475,503,533,381,536,0.0,False
jmeter_customer_view_requests:my_requests,2746,195,190,235,250,289,131,401,0.0,False
jmeter_customer_view_requests:all_requests,2746,206,201,250,270,318,135,492,0.0,False
jmeter_customer_view_requests:with_filter_requests,2746,134,123,193,216,268,66,351,0.0,False
jmeter_customer_view_request,1646,86,81,117,129,149,55,240,0.0,False
jmeter_customer_add_comment,2636,82,78,101,111,136,60,234,0.0,False
jmeter_customer_view_portal,1209,74,71,96,104,123,51,154,0.0,False
jmeter_customer_create_request:open_create_request_view,1757,64,62,83,91,112,43,131,0.0,False
jmeter_customer_create_request:create_request,1757,251,245,298,321,363,186,552,0.0,False
jmeter_customer_create_request:view_request_after_creation,1757,75,71,98,108,132,49,193,0.0,False
jmeter_customer_share_request_with_org:search_org,440,12,12,14,15,22,9,38,0.0,False
jmeter_customer_share_request_with_org:add_org,439,254,203,454,504,586,138,717,0.0,False
jmeter_customer_share_request_with_org:remove_org,438,313,282,458,491,583,184,755,0.0,False
jmeter_customer_share_request_with_customer:search_customer,546,25,23,29,30,55,19,136,0.0,False
jmeter_customer_share_request_with_customer:add_customer,546,245,195,440,486,570,138,714,0.0,False
jmeter_customer_share_request_with_customer:remove_customer,546,330,285,516,554,642,201,818,0.0,False
selenium_agent_login:open_login_page,220,177,173,190,194,209,146,948,0.0,False
selenium_customer_login:open_login_page,275,150,140,159,166,192,124,2062,0.0,False
selenium_agent_login:login_and_view_dashboard,220,764,756,812,842,859,630,1311,0.0,False
selenium_agent_login,220,942,934,992,1015,1045,784,2261,0.0,False
selenium_agent_browse_projects,220,318,315,342,348,362,280,428,0.0,False
selenium_customer_login:login_and_view_portal,275,627,695,908,925,941,368,957,0.0,False
selenium_customer_login,275,778,836,1055,1073,1109,504,2853,0.0,False
selenium_customer_create_request:browse_all_portals,275,454,657,693,705,727,133,746,0.0,False
selenium_customer_create_request:view_portal,275,222,219,240,247,258,145,1041,0.0,False
selenium_agent_view_customers,220,824,822,861,878,917,320,2341,0.0,False
selenium_customer_create_request:choose_request_type,275,689,684,748,761,788,602,801,0.0,False
selenium_customer_create_request:create_and_submit_request,275,362,270,630,649,662,209,2831,0.0,False
selenium_customer_create_request,275,1730,1789,2071,2235,2306,1241,5162,0.0,False
selenium_agent_view_request,220,759,737,841,886,982,593,3529,0.0,False
selenium_customer_view_request,275,229,224,254,262,276,175,1050,0.0,False
selenium_customer_view_requests,275,394,374,454,486,855,294,941,0.0,False
selenium_agent_view_report_workload_medium,220,1330,1342,1411,1443,1488,799,1527,0.0,False
selenium_customer_view_all_requests,275,342,327,384,404,766,257,812,0.0,False
selenium_agent_view_report_created_vs_resolved_medium,220,812,800,856,923,965,759,996,0.0,False
selenium_agent_view_report_workload_small,220,1357,1297,1411,2323,2915,770,3940,0.0,False
selenium_customer_share_request_with_customer:search_for_customer_to_share_with,275,2656,2655,2691,2702,2728,2581,2738,0.0,False
selenium_agent_view_report_created_vs_resolved_small,220,827,805,905,917,934,747,957,0.0,False
selenium_customer_share_request:share_request_with_customer,275,1597,1595,1608,1614,1625,1583,1637,0.0,False
selenium_customer_share_request_with_customer,275,4253,4255,4290,4304,4322,4170,4335,0.0,False
selenium_agent_add_comment:add comment,220,687,686,743,770,798,541,899,0.0,False
selenium_agent_add_comment,220,1401,1396,1482,1510,1684,1248,1831,0.0,False
selenium_customer_add_comment,275,1562,1542,1598,1616,2049,1465,3443,0.0,False
selenium_customer_log_out,275,282,264,292,396,665,192,817,0.0,False
selenium_agent_view_queues_large_project_:all_open_queue,220,1534,1544,1839,1871,1938,1231,4668,0.0,False
selenium_agent_view_queues_large_project:random_choice_queue,220,294,292,352,371,387,195,409,0.0,False
selenium_agent_view_queues_large_project,220,1829,1818,2129,2184,2264,1470,4992,0.0,False
selenium_agent_logout,220,574,573,626,638,675,412,700,0.0,False
