Summary run status                                                                  FAIL
               
Artifacts dir                                                                       2022-06-02_14-23-26 
OS                                                                                  Linux               
DC Apps Performance Toolkit version                                                 6.2.1 (OK: Toolkit is up to date)
Application                                                                         jsm 4.20.8          
Dataset info                                                                        1045071 issues      
Application nodes count                                                             4                   
Concurrency                                                                         80                  
Expected test run duration from yml file                                            2700 sec            
Actual test run duration                                                            2920 sec            
Finished                                                                            (True, 'OK')        
Compliant                                                                           (False, '')         
Success                                                                             (False, 'One or more actions have success rate < 95.0 %.')
Has app-specific actions                                                            True                
Insight                                                                             False               

Action                                                                             Success Rate        90th Percentile     Status              
jmeter_agent_login_and_view_dashboard                                               100.0               0.64                OK                  
jmeter_agent_add_comment:open_request_comment                                       100.0               0.02                OK                  
jmeter_agent_add_comment:save_request_comment                                       100.0               0.41                OK                  
jmeter_agent_view_request                                                           100.0               0.27                OK                  
jmeter_agent_browse_projects                                                        100.0               0.07                OK                  
jmeter_agent_view_queues_small:all_open_queue                                       100.0               1.26                OK                  
jmeter_agent_view_queues_small:random_queue                                         100.0               0.38                OK                  
jmeter_agent_view_customers                                                         100.0               0.7                 OK                  
jmeter_agent_view_queues_medium:all_open_queue                                      0.0                 1.27                Fail                
jmeter_agent_view_report_workload_small                                             100.0               2.82                OK                  
jmeter_agent_view_queues_medium:random_queue                                        100.0               0.38                OK                  
jmeter_agent_view_report_workload_medium                                            100.0               1.78                OK                  
jmeter_agent_view_report_created_vs_resolved_medium                                 100.0               0.19                OK                  
jmeter_agent_view_report_created_vs_resolved_small                                  100.0               0.19                OK                  
jmeter_customer_login_and_view_portals                                              100.0               1.15                OK                  
jmeter_customer_view_requests:my_requests                                           100.0               0.29                OK                  
jmeter_customer_view_requests:all_requests                                          100.0               0.28                OK                  
jmeter_customer_view_requests:with_filter_requests                                  100.0               0.3                 OK                  
jmeter_customer_view_request                                                        100.0               0.43                OK                  
jmeter_customer_add_comment                                                         100.0               0.2                 OK                  
jmeter_customer_view_portal                                                         100.0               0.12                OK                  
jmeter_customer_create_request:open_create_request_view                             100.0               0.12                OK                  
jmeter_customer_create_request:create_request                                       100.0               0.48                OK                  
jmeter_customer_create_request:view_request_after_creation                          100.0               0.14                OK                  
jmeter_customer_share_request_with_org:search_org                                   100.0               0.03                OK                  
jmeter_customer_share_request_with_org:add_org                                      100.0               0.84                OK                  
jmeter_customer_share_request_with_org:remove_org                                   100.0               0.88                OK                  
jmeter_customer_share_request_with_customer:search_customer                         100.0               0.04                OK                  
jmeter_customer_share_request_with_customer:add_customer                            100.0               0.85                OK                  
jmeter_customer_share_request_with_customer:remove_customer                         100.0               1.27                OK                  
selenium_agent_login:open_login_page                                                100.0               0.2                 OK                  
selenium_agent_login:login_and_view_dashboard                                       100.0               0.81                OK                  
selenium_agent_login                                                                100.0               1.0                 OK                  
selenium_agent_browse_projects                                                      100.0               0.35                OK                  
selenium_customer_login:open_login_page                                             100.0               0.16                OK                  
selenium_agent_view_customers                                                       100.0               0.86                OK                  
selenium_agent_view_request                                                         100.0               0.85                OK                  
selenium_customer_login:login_and_view_portal                                       100.0               0.74                OK                  
selenium_customer_login                                                             100.0               0.89                OK                  
selenium_customer_create_request:browse_all_portals                                 100.0               0.69                OK                  
selenium_agent_view_report_workload_medium                                          100.0               2.35                OK                  
selenium_customer_create_request:view_portal                                        100.0               0.24                OK                  
selenium_agent_view_report_created_vs_resolved_medium                               100.0               0.83                OK                  
selenium_customer_create_request:choose_request_type                                100.0               0.77                OK                  
selenium_agent_view_report_workload_small                                           100.0               2.81                OK                  
selenium_agent_view_report_created_vs_resolved_small                                100.0               0.9                 OK                  
selenium_customer_create_request:create_and_submit_request                          100.0               0.63                OK                  
selenium_customer_create_request                                                    100.0               2.25                OK                  
selenium_customer_view_request                                                      100.0               0.68                OK                  
selenium_agent_add_comment:add comment                                              100.0               0.67                OK                  
selenium_agent_add_comment                                                          100.0               1.37                OK                  
selenium_agent_view_queues_large_project_:all_open_queue                            100.0               2.09                OK                  
selenium_agent_view_queues_large_project:random_choice_queue                        100.0               0.36                OK                  
selenium_agent_view_queues_large_project                                            100.0               2.42                OK                  
selenium_agent_view_queues_small_project_:all_open_queue                            100.0               2.21                OK                  
selenium_agent_view_queues_small_project:random_choice_queue                        100.0               0.4                 OK                  
selenium_agent_view_queues_small_project                                            100.0               2.51                OK                  
selenium_customer_view_requests                                                     100.0               0.61                OK                  
selenium_customer_view_all_requests                                                 100.0               0.57                OK                  
selenium_customer_share_request_with_customer:search_for_customer_to_share_with     100.0               2.69                OK                  
selenium_agent_logout                                                               100.0               0.61                OK                  
selenium_customer_share_request:share_request_with_customer                         100.0               2.11                OK                  
selenium_customer_share_request_with_customer                                       100.0               4.81                OK                  
selenium_customer_add_comment                                                       100.0               2.07                OK                  
selenium_customer_log_out                                                           100.0               0.62                OK                  
load_aws_project                                                                    100.0               1.91                OK                  APP-SPECIFIC        
select_aws_opsitem_issue_type                                                       100.0               0.16                OK                  APP-SPECIFIC        
set_aws_opsitem_summary                                                             100.0               0.08                OK                  APP-SPECIFIC        
set_aws_opsitem_description                                                         100.0               0.15                OK                  APP-SPECIFIC        
submit_aws_opsitem                                                                  100.0               0.71                OK                  APP-SPECIFIC        
load_aws_create_issue_modal                                                         100.0               1.83                OK                  APP-SPECIFIC        
selenium_aws_opsitem                                                                100.0               3.77                OK                  APP-SPECIFIC        
