Action,without app,with app,App-specific
jmeter_agent_login_and_view_dashboard,364,400,False
jmeter_agent_add_comment:open_request_comment,20,20,False
jmeter_agent_add_comment:save_request_comment,450,455,False
jmeter_agent_view_request,270,280,False
jmeter_agent_browse_projects,71,72,False
jmeter_agent_view_customers,765,754,False
jmeter_agent_view_queues_small:all_open_queue,2312,562,False
jmeter_agent_view_queues_small:random_queue,338,341,False
jmeter_agent_view_report_workload_small,1313,1392,False
jmeter_agent_view_queues_medium:all_open_queue,2338,498,False
jmeter_agent_view_queues_medium:random_queue,329,357,False
jmeter_agent_view_report_workload_medium,912,965,False
jmeter_agent_view_report_created_vs_resolved_medium,171,174,False
jmeter_agent_view_report_created_vs_resolved_small,173,175,False
jmeter_customer_login_and_view_portals,488,507,False
jmeter_customer_view_requests:my_requests,280,284,False
jmeter_customer_view_requests:all_requests,302,302,False
jmeter_customer_view_requests:with_filter_requests,254,261,False
jmeter_customer_view_request,209,219,False
jmeter_customer_add_comment,194,193,False
jmeter_customer_view_portal,106,107,False
jmeter_customer_create_request:open_create_request_view,105,106,False
jmeter_customer_create_request:create_request,533,531,False
jmeter_customer_create_request:view_request_after_creation,174,171,False
jmeter_customer_share_request_with_org:search_org,26,25,False
jmeter_customer_share_request_with_org:add_org,556,502,False
jmeter_customer_share_request_with_org:remove_org,587,557,False
jmeter_customer_share_request_with_customer:search_customer,40,40,False
jmeter_customer_share_request_with_customer:add_customer,528,511,False
jmeter_customer_share_request_with_customer:remove_customer,724,728,False
selenium_customer_login:open_login_page,135,157,False
selenium_agent_login:open_login_page,171,196,False
selenium_customer_login:login_and_view_portal,742,751,False
selenium_customer_login,870,900,False
selenium_customer_create_request:browse_all_portals,679,700,False
selenium_customer_create_request:view_portal,194,242,False
selenium_agent_login:login_and_view_dashboard,725,792,False
selenium_agent_login,887,978,False
selenium_agent_browse_projects,320,348,False
selenium_customer_create_request:choose_request_type,759,771,False
selenium_customer_create_request:create_and_submit_request,606,627,False
selenium_customer_create_request,1903,2245,False
selenium_customer_view_request,321,335,False
selenium_agent_view_customers,810,861,False
selenium_customer_view_requests,479,490,False
selenium_customer_view_all_requests,446,470,False
selenium_agent_view_request,655,781,False
selenium_agent_view_report_workload_medium,1417,1476,False
selenium_customer_share_request_with_customer:search_for_customer_to_share_with,2659,2675,False
selenium_agent_view_report_created_vs_resolved_medium,805,832,False
selenium_agent_view_report_workload_small,1790,1828,False
selenium_customer_share_request:share_request_with_customer,1600,1601,False
selenium_customer_share_request_with_customer,4263,4295,False
selenium_agent_view_report_created_vs_resolved_small,778,884,False
selenium_customer_add_comment,1637,1708,False
selenium_agent_add_comment:add comment,633,678,False
selenium_agent_add_comment,1299,1385,False
selenium_customer_log_out,724,762,False
selenium_agent_view_queues_large_project_:all_open_queue,2508,1620,False
selenium_agent_view_queues_large_project:random_choice_queue,365,352,False
selenium_agent_view_queues_large_project,2816,1963,False
selenium_agent_logout,508,632,False
